mode,TITLE,PEPTIDE,PRECURSOR_TYPE,PEPMASS
negative,HMDB0014877_20 eV_[M-H]-,[H]OC(=O)[C@]1([H])N2C(=O)[C@@]([H])(N3C(=O)[C@@]([H])(c4c([H])c([H])c([H])c([H])c4[H])N([H])C3(C([H])([H])[H])C([H])([H])[H])[C@@]2([H])SC1(C([H])([H])[H])C([H])([H])[H],[M-H]-,388.1331
negative,HMDB0014958_20 eV_[M-H]-,[H]c1c([H])c([C@]2([H])c3c(c4c([H])c([H])c([H])c([H])c4n3[H])C([H])([H])[C@]3([H])C(=O)N(C([H])([H])[H])C([H])([H])C(=O)N23)c([H])c2c1OC([H])([H])O2,[M-H]-,388.1297
negative,HMDB0015281_20 eV_[M-H]-,[H]OC(=O)C1=C(C([H])=C([H])C([H])([H])[H])C([H])([H])S[C@@]2([H])N1C(=O)[C@@]2([H])N([H])C(=O)[C@@]([H])(c1c([H])c([H])c(O[H])c([H])c1[H])N([H])[H],[M-H]-,388.0967
negative,HMDB0015286_20 eV_[M-H]-,[H]OC(=O)c1c([H])n(C2([H])C([H])([H])C2([H])[H])c2nc(N3C([H])([H])/C(=N\OC([H])([H])[H])C([H])(C([H])([H])N([H])[H])C3([H])[H])c(F)c([H])c2c1=O,[M-H]-,388.1421
negative,HMDB0030381_20 eV_[M-H]-,[H]C([H])=C([H])C(C([H])([H])[H])(C([H])([H])[H])C12c3c([H])c([H])c([H])c([H])c3N([H])C1([H])N1C(=O)/C(=C(/[H])c3nc([H])n([H])c3[H])N([H])C(=O)C1([H])C2([H])[H],[M-H]-,388.1773
negative,HMDB0039896_20 eV_[M-H]-,[H]c1c([H])c2c(c3c1OC([H])([H])O3)C([H])(C([H])([H])C(=O)C([H])([H])[H])N(C([H])([H])[H])c1c-2c([H])c([H])c2c([H])c3c(c([H])c12)OC([H])([H])O3,[M-H]-,388.1185
negative,HMDB0241286_20 eV_[M-H]-,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M-H]-,388.2335
negative,HMDB0241287_20 eV_[M-H]-,[H]OC(=O)C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M-H]-,388.2335
negative,HMDB0241288_20 eV_[M-H]-,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M-H]-,388.2335
negative,HMDB0241289_20 eV_[M-H]-,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])(C([H])([H])C(=O)[O-])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[M-H]-,388.2335
negative,HMDB0242079_20 eV_[M-H]-,[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])=C([H])C([H])([H])C([H])([H])[H])C([H])([H])O[H],[M-H]-,388.2488
negative,HMDB0242113_20 eV_[M-H]-,[H]OC(=NC([H])([H])C([H])([H])S(=O)(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])/C([H])=C(/[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],[M-H]-,388.2522
negative,HMDB0242725_20 eV_[M-H]-,[H]OC(C(=O)N([H])c1c([H])c([H])c(C#N)c(C(F)(F)F)c1[H])(C([H])([H])[H])C([H])([H])Oc1c([H])c([H])c(C#N)c([H])c1[H],[M-H]-,388.0909
negative,HMDB0243857_20 eV_[M-H]-,[H]c1c([H])c([H])c(C([H])([H])OC(=O)N([H])C([H])([H])C2([H])C([H])([H])N(C([H])([H])[H])C3([H])C([H])([H])c4c([H])n([H])c5c([H])c([H])c([H])c(c45)C3([H])C2([H])[H])c([H])c1[H],[M-H]-,388.2025
negative,HMDB0244291_20 eV_[M-H]-,[H]c1c([H])c([H])c(N2C(=O)c3c([H])c4c(c([H])c3C2([H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C4([H])[H])c([H])c1[H],[M-H]-,388.2025
negative,HMDB0246146_20 eV_[M-H]-,[H]c1oc(-c2nc3c4c([H])nn(C([H])([H])C([H])([H])C([H])([H])c5c([H])c([H])c(OC([H])([H])[H])c([H])c5[H])c4nc(N([H])[H])n3n2)c([H])c1[H],[M-H]-,388.1522
negative,HMDB0248853_20 eV_[M-H]-,[H]OC(=O)c1c([H])n(C2([H])C([H])([H])C2([H])[H])c2c(OC([H])([H])[H])c(N3C([H])([H])C([H])([H])C([H])([H])C([H])(N([H])C([H])([H])[H])C3([H])[H])c(F)c([H])c2c1=O,[M-H]-,388.1673
negative,HMDB0248899_20 eV_[M-H]-,[H]ON([H])C(=O)C([H])(C([H])([H])C([H])=C([H])[H])C([H])(C(=O)N([H])C([H])(C(=O)N([H])C([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],[M-H]-,388.2236
negative,HMDB0250834_20 eV_[M-H]-,[H]c1c([H])c([H])c(N([H])C(=O)C2(C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c(SC(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],[M-H]-,388.2310
negative,HMDB0253365_20 eV_[M-H]-,[H]c1nc(C(OC([H])([H])[H])(c2c([H])c([H])c([H])c(OC([H])([H])c3c([H])c([H])c4c([H])c([H])c([H])c([H])c4c3[H])c2[H])C([H])([H])C([H])([H])[H])sc1[H],[M-H]-,388.1371
negative,HMDB0253455_20 eV_[M-H]-,[H]c1nc([H])c([H])c(N([H])C(=O)C(=O)c2c([H])n(C([H])([H])c3c([H])c([H])c(Cl)c([H])c3[H])c3c([H])c([H])c([H])c([H])c23)c1[H],[M-H]-,388.0853
negative,HMDB0254250_20 eV_[M-H]-,[H]OC([H])([H])C1([H])OC([H])(n2c([H])c([H])c(N([H])C(=O)C([H])(C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])nc2=O)C(F)(F)C1([H])O[H],[M-H]-,388.1684
negative,HMDB0254931_20 eV_[M-H]-,[H]c1nc(N(C(=O)c2oc([H])c([H])c2[H])C2([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c(C([H])([H])[H])c1[H],[M-H]-,388.2025
negative,HMDB0255769_20 eV_[M-H]-,[H]c1nc([H])c(N([H])c2nc(N([H])C([H])(c3c([H])c([H])c(F)c([H])c3[H])C([H])([H])[H])c([H])c(-c3c([H])nn(C([H])([H])[H])c3[H])c2[H])nc1[H],[M-H]-,388.1686
